alfa ,iteration,acc,recall,percision
0.004, Na, , , 
0.003,1604,98.97969476,0.98863124,0.988630143
0.002,82.2,98.76151294,0.988781559,0.98372524
0.001,67.8,98.83344393,0.99040197,0.983710824
0.0009,65.4,98.83424021,0.990051205,0.983488655
0.0008,63,98.8331785,0.990131221,0.983802523
0.0007,60,98.83424021,0.989920437,0.983727203
0.0006,55.4,98.83397478,0.990147697,0.983755123
0.0005,49.6,98.68825481,0.987206278,0.983585666
0.0004,41.4,78.54333112,0.984074573,0.984004206
0.0003,30.6,98.10404778,0.976835482,0.979916967
0.0002,29,97.44950232,0.963637418,0.978588618
0.0001,36,96.64499005,0.93168872,0.990991957
9.00E-05,36.8,96.42760451,0.927698481,0.991167348
8.00E-05,37.8,96.28214997,0.924338106,0.991293422
7.00E-05,38.6,95.84764433,0.917300888,0.991342725
6.00E-05,39.6,95.40836098,0.909481666,0.986348207
5.00E-05,41.2,94.24180491,0.899214235,0.970365791
4.00E-05,45.4,93.00331785,0.878862236,0.958023063
3.00E-05,51.8,90.52368945,0.846188854,0.933049765
2.00E-05,62.8,83.23450564,0.806124355,0.81362106
1.00E-05,82,51.60398142,0.663597861,0.467411253
9.00E-06,82.4,48.53828799,0.646355736,0.446240065
8.00E-06,79.8,43.37067021,0.611549051,0.408733672
7.00E-06,69.8,36.73045786,0.576733734,0.365963548
6.00E-06,47.8,30.5393497,0.553524544,0.331598191
5.00E-06,28,23.61300597,0.500336099,0.29072682
4.00E-06,11.6,18.51174519,0.399464335,0.244843557
3.00E-06,1,15.74439283,0.345611019,0.217981785
2.00E-06,1,15.74306569,0.346267004,0.217246042
1.00E-06,1,15.66980756,0.343331119,0.216606049
1e-06, 1.0, 15.671930988719307, 0.3421967848998221, 0.21678614781250022
